OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01697,7.9e-05,0,7.9e-05,3e-06,0,3e-06,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01711,3e-06,0,3e-06,8.4e-05,0,7.2e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01786,8.4e-05,0,8.4e-05,0,0,0,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02003,6.6e-05,0,5.9e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(97),
Otu02018,0,0,0,5.8e-05,0,5.8e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02250,0,0,0,5.8e-05,0,5.8e-05,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu02500,0,0,0,5.8e-05,0,5.2e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00686,3e-06,0,3e-06,6.1e-05,0,5.8e-05,2e-06,0.00127377777777778,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01789,5.4e-05,0,5.1e-05,0,0,0,2e-06,0.00127377777777778,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(100),
Otu00857,1.3e-05,0,7e-06,8.7e-05,0,2.9e-05,3e-06,0.001433,Bacteria(100),Firmicutes(100),Clostridia(99),Clostridiales(99),Clostridiales_unclassified(99),Clostridiales_unclassified(99),
Otu01537,5.1e-05,0,3.6e-05,0,0,0,3e-06,0.001433,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(89),Lachnospiraceae_unclassified(89),
Otu01606,6.4e-05,0,4.3e-05,3e-06,0,3e-06,3e-06,0.001433,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Faecalicoccus(100),
Otu00998,5e-06,0,4e-06,6.3e-05,0,2.4e-05,5e-06,0.00220461538461538,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01155,6.1e-05,0,5.9e-05,3e-06,0,3e-06,6e-06,0.00245657142857143,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01773,8.7e-05,0,8.7e-05,1.4e-05,0,1.4e-05,8e-06,0.00305706666666667,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(100),
Otu01360,0,0,0,4.3e-05,0,3.3e-05,1.2e-05,0.004299,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00966,6.9e-05,0,4e-05,9e-06,0,6e-06,2.5e-05,0.00796111111111111,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Slackia(100),
Otu01326,6.9e-05,0,3.3e-05,9e-06,0,6e-06,2.5e-05,0.00796111111111111,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(100),
Otu01540,5e-06,0,4e-06,5.8e-05,0,2.4e-05,3.7e-05,0.0111623157894737,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00420,1.8e-05,0,1.3e-05,8.7e-05,0,7.5e-05,4e-05,0.011464,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01913,0,0,0,3.7e-05,0,3.7e-05,5.4e-05,0.0147394285714286,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01072,5.9e-05,0,3.1e-05,6e-06,0,4e-06,5.7e-05,0.0148510909090909,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),
Otu01197,8.4e-05,0,6e-05,1.7e-05,0,1.5e-05,6.8e-05,0.0169467826086956,Bacteria(100),Fusobacteria(100),Fusobacteriia(100),Fusobacteriales(100),Fusobacteriaceae(100),Cetobacterium(100),
Otu01991,6.4e-05,0,5.6e-05,9e-06,0,6e-06,7.5e-05,0.0179125,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01569,3.8e-05,0,3.8e-05,0,0,0,8.6e-05,0.01971808,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00930,8.2e-05,0,6.2e-05,1.7e-05,0,1.1e-05,0.000112,0.0212638709677419,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01060,1.8e-05,0,1e-05,8.1e-05,0,3.7e-05,0.000113,0.0212638709677419,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01175,7.4e-05,0,2.4e-05,1.4e-05,0,7e-06,0.000103,0.0212638709677419,Bacteria(100),Bacteroidetes(100),Bacteroidia(99),Bacteroidales(99),Bacteroidales_unclassified(73),Bacteroidales_unclassified(73),
Otu01295,0,0,0,3.5e-05,0,2.6e-05,0.000115,0.0212638709677419,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(99),
Otu01405,0,0,0,3.5e-05,0,3.2e-05,0.000115,0.0212638709677419,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Butyricicoccus(100),
Otu02462,0,0,0,3.5e-05,0,3.5e-05,0.000115,0.0212638709677419,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Butyricicoccus(100),
Otu01087,3e-06,0,3e-06,4.3e-05,0,3e-05,0.000146,0.02615225,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01028,3.6e-05,0,3.3e-05,0,0,0,0.000165,0.0278170588235294,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01627,3.6e-05,0,3.6e-05,0,0,0,0.000165,0.0278170588235294,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00899,7.7e-05,0,4.3e-05,1.7e-05,0,1.5e-05,0.000181,0.0296426285714286,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01422,4.3e-05,0,2.4e-05,3e-06,0,3e-06,0.000213,0.0329977297297297,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01945,4.3e-05,0,2.5e-05,3e-06,0,3e-06,0.000213,0.0329977297297297,Bacteria(100),Bacteroidetes(100),Bacteroidia(99),Bacteroidales(99),Bacteroidales_unclassified(93),Bacteroidales_unclassified(93),
Otu00902,0,0,0,3.2e-05,0,2.9e-05,0.000245,0.0360087179487179,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Erysipelotrichaceae_unclassified(100),
Otu01714,0,0,0,3.2e-05,0,3.2e-05,0.000245,0.0360087179487179,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu00780,1.8e-05,0,8e-06,7.5e-05,0,7.2e-05,0.000318,0.0391686666666667,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00784,3e-06,0,3e-06,4e-05,0,3.2e-05,0.000288,0.0391686666666667,Bacteria(100),Verrucomicrobia(100),Verrucomicrobiae(100),Verrucomicrobiales(100),Verrucomicrobiaceae(100),Verrucomicrobiaceae_unclassified(100),
Otu00876,1.8e-05,0,1.1e-05,7.5e-05,0,3.4e-05,0.000318,0.0391686666666667,Bacteria(100),Tenericutes(100),Mollicutes(100),Anaeroplasmatales(100),Anaeroplasmataceae(100),Anaeroplasma(100),
Otu01036,8e-06,0,4e-06,5.2e-05,0,1.5e-05,0.000315,0.0391686666666667,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01196,2.3e-05,0,9e-06,8.4e-05,0,3.6e-05,0.000277,0.0391686666666667,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01441,5.1e-05,0,3.5e-05,6e-06,0,4e-06,0.000328,0.0391686666666667,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01561,3.3e-05,0,2.4e-05,0,0,0,0.000316,0.0391686666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01608,5.1e-05,0,2.1e-05,6e-06,0,6e-06,0.000328,0.0391686666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Butyricicoccus(100),
Otu01805,3.3e-05,0,1.5e-05,0,0,0,0.000316,0.0391686666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Subdoligranulum(99),
Otu00662,2.6e-05,0,1.4e-05,8.7e-05,0,3.4e-05,0.000391,0.0432104615384615,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(100),
Otu00789,2.6e-05,0,1.3e-05,8.7e-05,0,2.9e-05,0.000391,0.0432104615384615,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01168,5.6e-05,0,3.6e-05,9e-06,0,6e-06,0.000392,0.0432104615384615,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01518,4.1e-05,0,2e-05,3e-06,0,3e-06,0.000386,0.0432104615384615,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Fusicatenibacter(100),
Otu00683,1.3e-05,0,9e-06,6.1e-05,0,5.8e-05,0.000581,0.0628356981132075,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01562,3.1e-05,0,1.8e-05,0,0,0,0.00061,0.0635730909090909,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(95),Porphyromonadaceae_unclassified(95),
Otu02347,3.1e-05,0,3.1e-05,0,0,0,0.00061,0.0635730909090909,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00932,2.6e-05,0,1e-05,8.4e-05,0,2.6e-05,0.000627,0.0641779285714286,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02113,3.8e-05,0,2.4e-05,3e-06,0,3e-06,7e-04,0.0703929824561404,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(64),Firmicutes_unclassified(64),Firmicutes_unclassified(64),Firmicutes_unclassified(64),
Otu01485,6.9e-05,0,2.3e-05,1.7e-05,0,9e-06,0.000752,0.0743183448275862,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Anaerofilum(52),
Otu00707,2.8e-05,0,1e-05,8.7e-05,0,2.9e-05,0.000846,0.0821910508474576,Bacteria(100),Firmicutes(99),Clostridia(98),Clostridiales(98),Clostridiales_unclassified(98),Clostridiales_unclassified(98),
Otu00367,9.7e-05,0,2.3e-05,0.000312,0,5.9e-05,0.000999,0.0873933698630137,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(99),Clostridiales_unclassified(99),Clostridiales_unclassified(99),
Otu00606,2.6e-05,0,1.2e-05,0.00015,0,3.4e-05,0.000999,0.0873933698630137,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00868,2.6e-05,0,1.1e-05,8.1e-05,0,2.5e-05,0.000998,0.0873933698630137,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu00913,2.6e-05,0,1.4e-05,8.1e-05,0,4.9e-05,0.000998,0.0873933698630137,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(99),Bacteroidetes_unclassified(99),Bacteroidetes_unclassified(99),Bacteroidetes_unclassified(99),
Otu00924,0,0,0,2.6e-05,0,1.8e-05,0.001113,0.0873933698630137,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01181,3e-06,0,3e-06,3.5e-05,0,3.2e-05,0.001111,0.0873933698630137,Bacteria(100),Firmicutes(98),Firmicutes_unclassified(98),Firmicutes_unclassified(98),Firmicutes_unclassified(98),Firmicutes_unclassified(98),
Otu01342,3e-06,0,3e-06,3.5e-05,0,1.6e-05,0.001111,0.0873933698630137,Bacteria(100),Firmicutes(89),Firmicutes_unclassified(89),Firmicutes_unclassified(89),Firmicutes_unclassified(89),Firmicutes_unclassified(89),
Otu01553,0.000102,0,0.000102,0,0,0,0.000999,0.0873933698630137,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Collinsella(100),
Otu01579,0,0,0,2.6e-05,0,1.1e-05,0.001113,0.0873933698630137,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Coriobacteriaceae_unclassified(100),
Otu01580,1e-05,0,8e-06,5.2e-05,0,4.3e-05,0.001044,0.0873933698630137,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Flavonifractor(100),
Otu01600,0,0,0,2.6e-05,0,2.6e-05,0.001113,0.0873933698630137,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(97),Clostridiales_unclassified(97),
Otu01717,3e-06,0,3e-06,3.5e-05,0,1.6e-05,0.001111,0.0873933698630137,Bacteria(100),Firmicutes(96),Erysipelotrichia(94),Erysipelotrichales(94),Erysipelotrichaceae(94),Erysipelotrichaceae_unclassified(94),
Otu02539,0,0,0,2.6e-05,0,2.6e-05,0.001113,0.0873933698630137,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02790,0,0,0,2.6e-05,0,1.5e-05,0.001113,0.0873933698630137,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01097,5.1e-05,0,1.5e-05,9e-06,0,6e-06,0.001158,0.0876921558441559,Bacteria(100),Firmicutes(98),Firmicutes_unclassified(98),Firmicutes_unclassified(98),Firmicutes_unclassified(98),Firmicutes_unclassified(98),
Otu02012,2.8e-05,0,2.3e-05,0,0,0,0.001178,0.0876921558441559,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(95),Firmicutes_unclassified(95),Firmicutes_unclassified(95),Firmicutes_unclassified(95),
Otu02280,2.8e-05,0,2e-05,0,0,0,0.001178,0.0876921558441559,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Clostridium_XlVa(100),
Otu02398,2.8e-05,0,2.3e-05,0,0,0,0.001178,0.0876921558441559,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Corynebacteriaceae(100),Corynebacterium(100),
Otu00971,6.1e-05,0,3.6e-05,1.4e-05,0,9e-06,0.001222,0.0898013333333333,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00986,8.7e-05,0,4.2e-05,2.9e-05,0,1.8e-05,0.001278,0.0904382222222222,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Butyricicoccus(100),
Otu01637,8.7e-05,0,5.4e-05,2.9e-05,0,2.4e-05,0.001278,0.0904382222222222,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01863,3.6e-05,0,1e-05,3e-06,0,3e-06,0.001268,0.0904382222222222,Bacteria(100),Bacteroidetes(100),Bacteroidia(99),Bacteroidales(99),Bacteroidales_unclassified(58),Bacteroidales_unclassified(58),
Otu01229,5e-06,0,5e-06,4e-05,0,2.7e-05,0.001559,0.106075717647059,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01288,1.5e-05,0,1.1e-05,6.1e-05,0,2.5e-05,0.001573,0.106075717647059,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01415,5e-06,0,5e-06,4e-05,0,2.4e-05,0.001559,0.106075717647059,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02221,5e-06,0,4e-06,4e-05,0,4e-05,0.001559,0.106075717647059,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00895,7.7e-05,0,7.2e-05,2.3e-05,0,2e-05,0.001628,0.108508093023256,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonadaceae_unclassified(100),
Otu01292,4.1e-05,0,3e-05,6e-06,0,4e-06,0.001774,0.114253573033708,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu01468,4.1e-05,0,2.7e-05,6e-06,0,4e-06,0.001774,0.114253573033708,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01547,4.1e-05,0,1.8e-05,6e-06,0,4e-06,0.001774,0.114253573033708,Bacteria(100),Firmicutes(100),Clostridia(85),Clostridiales(82),Clostridiales_unclassified(82),Clostridiales_unclassified(82),
Otu00962,5.4e-05,0,3.2e-05,1.2e-05,0,5e-06,0.002011,0.128078355555556,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01074,2.8e-05,0,1.5e-05,8.1e-05,0,2.6e-05,0.002058,0.129631384615385,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(95),Ruminococcaceae_unclassified(95),
Otu01076,3e-06,0,3e-06,3.2e-05,0,2.4e-05,0.002172,0.135325043478261,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01477,3.3e-05,0,2e-05,3e-06,0,3e-06,0.002291,0.138231705263158,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02304,2.6e-05,0,1.5e-05,0,0,0,0.002281,0.138231705263158,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonadaceae_unclassified(100),
Otu02882,2.6e-05,0,2.6e-05,0,0,0,0.002281,0.138231705263158,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(100),
Otu01866,0,0,0,2.3e-05,0,1.2e-05,0.002369,0.138562326530612,Bacteria(100),Firmicutes(97),Clostridia(97),Clostridia_unclassified(88),Clostridia_unclassified(88),Clostridia_unclassified(88),
Otu02066,0,0,0,2.3e-05,0,1.3e-05,0.002369,0.138562326530612,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu02518,0,0,0,2.3e-05,0,1.8e-05,0.002369,0.138562326530612,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01070,1.5e-05,0,9e-06,5.8e-05,0,4.6e-05,0.002612,0.151232161616162,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),
Otu00993,2.3e-05,0,8e-06,7.2e-05,0,1.9e-05,0.002878,0.16496696,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Coriobacteriaceae_unclassified(100),
Otu01056,6.1e-05,0,3.3e-05,1.7e-05,0,1.5e-05,0.002991,0.168419647058824,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01225,0.000143,0,5.5e-05,6e-06,0,4e-06,0.002997,0.168419647058824,Bacteria(100),Bacteroidetes(97),Bacteroidia(81),Bacteroidales(81),Bacteroidales_unclassified(80),Bacteroidales_unclassified(80),
Otu01811,3.8e-05,0,1.7e-05,6e-06,0,6e-06,0.003056,0.170067883495146,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(55),Ruminococcaceae_unclassified(55),
Otu01386,8e-06,0,6e-06,4.3e-05,0,2e-05,0.003228,0.177912461538462,Bacteria(100),Verrucomicrobia(98),Opitutae(98),Puniceicoccales(98),Puniceicoccaceae(98),Puniceicoccaceae_unclassified(98),
Otu01084,4.6e-05,0,2.6e-05,9e-06,0,5e-06,0.003349,0.182823504761905,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00967,1.8e-05,0,8e-06,6.1e-05,0,2.8e-05,0.003768,0.203756377358491,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00222,0.000232,0,7.2e-05,0.000695,1e-06,0.000129,0.003996,0.206398601626016,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(99),Clostridiales_unclassified(99),
Otu00247,2.3e-05,0,1.8e-05,0,0,0,0.004429,0.206398601626016,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Paraprevotella(100),
Otu00750,3.1e-05,0,2.1e-05,8.1e-05,0,4.5e-05,0.00399,0.206398601626016,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(97),Clostridiales_unclassified(97),
Otu00796,3.1e-05,0,2.1e-05,3e-06,0,3e-06,0.004131,0.206398601626016,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu00875,7.9e-05,0,4.7e-05,2.9e-05,0,9e-06,0.00432,0.206398601626016,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00906,2.3e-05,0,1.8e-05,0,0,0,0.004429,0.206398601626016,Bacteria(100),Bacteroidetes(100),Bacteroidia(98),Bacteroidales(98),Bacteroidales_unclassified(98),Bacteroidales_unclassified(98),
Otu00942,3.1e-05,0,2e-05,8.1e-05,0,5.8e-05,0.00399,0.206398601626016,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiaceae_1(100),Clostridiaceae_1_unclassified(100),
Otu01022,0.000143,0,4.2e-05,2.6e-05,0,1.3e-05,0.003996,0.206398601626016,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01035,1.5e-05,0,7e-06,5.5e-05,0,2.4e-05,0.004301,0.206398601626016,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(98),Ruminococcaceae_unclassified(98),
Otu01219,3e-06,0,3e-06,2.9e-05,0,2.1e-05,0.004227,0.206398601626016,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Odoribacter(100),
Otu01227,3e-06,0,3e-06,2.9e-05,0,2.3e-05,0.004227,0.206398601626016,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01432,3e-06,0,3e-06,2.9e-05,0,1.8e-05,0.004227,0.206398601626016,Bacteria(100),Chlamydiae(100),Chlamydiia(100),Chlamydiales(100),Chlamydiaceae(100),Chlamydophila(100),
Otu01859,2.3e-05,0,1.2e-05,0,0,0,0.004429,0.206398601626016,Bacteria(100),Bacteroidetes(100),Bacteroidia(87),Bacteroidales(87),Bacteroidales_unclassified(87),Bacteroidales_unclassified(87),
Otu01862,2.3e-05,0,1.7e-05,0,0,0,0.004429,0.206398601626016,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu02231,2.3e-05,0,2.1e-05,0,0,0,0.004429,0.206398601626016,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu02345,2.3e-05,0,2.3e-05,0,0,0,0.004429,0.206398601626016,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Neisseriales(100),Neisseriaceae(100),Snodgrassella(93),
Otu02386,2.3e-05,0,1.5e-05,0,0,0,0.004429,0.206398601626016,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
